Date,year,month,visits
2006-01-01,2006,1,362
2006-02-01,2006,2,436
2006-03-01,2006,3,310.3275713624877
2006-04-01,2006,4,490
2006-05-01,2006,5,508
2006-06-01,2006,6,377.73426847771645
2006-07-01,2006,7,393
2006-08-01,2006,8,596
2006-09-01,2006,9,634
2006-10-01,2006,10,613
2006-11-01,2006,11,545
2006-12-01,2006,12,411
2007-01-01,2007,1,398
2007-02-01,2007,2,311
2007-03-01,2007,3,664
2007-04-01,2007,4,680
2007-05-01,2007,5,362
2007-06-01,2007,6,470
2007-07-01,2007,7,566
2007-08-01,2007,8,806
2007-09-01,2007,9,732
2007-10-01,2007,10,886
2007-11-01,2007,11,776
2007-12-01,2007,12,698
2008-01-01,2008,1,875
2008-02-01,2008,2,840
2008-03-01,2008,3,724
2008-04-01,2008,4,1115
2008-05-01,2008,5,997
2008-06-01,2008,6,775
2008-07-01,2008,7,886
2008-08-01,2008,8,1041
2008-09-01,2008,9,1011
2008-10-01,2008,10,3110
2008-11-01,2008,11,939
2008-12-01,2008,12,1938.2024498998012
2009-01-01,2009,1,1004
2009-02-01,2009,2,1065
2009-03-01,2009,3,1263
2009-04-01,2009,4,962
2009-05-01,2009,5,1591.2191538512286
2009-06-01,2009,6,1429
2009-07-01,2009,7,1205
2009-08-01,2009,8,890
2009-09-01,2009,9,1320
2009-10-01,2009,10,1276
2009-11-01,2009,11,1757
2009-12-01,2009,12,1709
2010-01-01,2010,1,1710
2010-02-01,2010,2,1710
2010-03-01,2010,3,1578
2010-04-01,2010,4,1604
2010-05-01,2010,5,1758
2010-06-01,2010,6,2813.141848672571
2010-07-01,2010,7,1457
2010-08-01,2010,8,1607
2010-09-01,2010,9,1808
2010-10-01,2010,10,1866
2010-11-01,2010,11,1934
2010-12-01,2010,12,2294
2011-01-01,2011,1,2836.580936192932
2011-02-01,2011,2,2334
2011-03-01,2011,3,1973
2011-04-01,2011,4,2262
2011-05-01,2011,5,2259
2011-06-01,2011,6,2217
2011-07-01,2011,7,2739
2011-08-01,2011,8,2772
2011-09-01,2011,9,3383
2011-10-01,2011,10,2869
2011-11-01,2011,11,2239
2011-12-01,2011,12,3079.2784454611965
2012-01-01,2012,1,2789
2012-02-01,2012,2,3455
2012-03-01,2012,3,2940
2012-04-01,2012,4,2968
2012-05-01,2012,5,3466
2012-06-01,2012,6,3037
2012-07-01,2012,7,3946
2012-08-01,2012,8,3459
2012-09-01,2012,9,3446
2012-10-01,2012,10,3258
2012-11-01,2012,11,4729
2012-12-01,2012,12,3694
2013-01-01,2013,1,4610
2013-02-01,2013,2,4841
2013-03-01,2013,3,5172
2013-04-01,2013,4,4351
2013-05-01,2013,5,5255
2013-06-01,2013,6,4723
2013-07-01,2013,7,5013
2013-08-01,2013,8,4978
2013-09-01,2013,9,5008
2013-10-01,2013,10,6094
2013-11-01,2013,11,4874
2013-12-01,2013,12,5933
2014-01-01,2014,1,4457
2014-02-01,2014,2,4472
2014-03-01,2014,3,4438
2014-04-01,2014,4,4474
2014-05-01,2014,5,4455
2014-06-01,2014,6,4488
2014-07-01,2014,7,4464
2014-08-01,2014,8,4456
2014-09-01,2014,9,4483
2014-10-01,2014,10,4466
2014-11-01,2014,11,4446
2014-12-01,2014,12,4470
